openalex_id,display_name_or_alias,orcid,institutions,n_institutions,n_works_in_input
https://openalex.org/A5011213868,Kaleem Arshid,https://orcid.org/0000-0001-9071-360X,Universidad Carlos III de Madrid; University of Genoa,2,2
https://openalex.org/A5078391768,Karim Lekadir,https://orcid.org/0000-0002-9456-1612,Universitat de Barcelona,1,2
https://openalex.org/A5028662414,Laura Avanzino,https://orcid.org/0000-0001-6286-1509,Ospedale Policlinico San Martino; University of Genoa,2,2
https://openalex.org/A5044921667,Laura Falcitano,https://orcid.org/0000-0002-8258-2184,Ospedale Policlinico San Martino,1,2
https://openalex.org/A5112589175,Laura Vallese,,,0,2
https://openalex.org/A5083408859,Lorenzo Tamellini,https://orcid.org/0000-0002-8008-0359,Istituto di Matematica Applicata e Tecnologie Informatiche,1,2
https://openalex.org/A5034705217,Luca Lazzaroni,https://orcid.org/0000-0001-8092-5473,University of Genoa,1,2
https://openalex.org/A5010356903,Luca Roccatagliata,https://orcid.org/0000-0001-8029-3947,Ospedale Policlinico San Martino; University of Genoa,2,2
https://openalex.org/A5097875247,Lucia Argenti,,University of Genoa,1,2
https://openalex.org/A5003804011,Lucia Pallottino,https://orcid.org/0000-0002-9480-8857,Piaggio (Italy); University of Pisa,2,2
https://openalex.org/A5072550927,Luciana Algieri,https://orcid.org/0000-0003-3667-5432,Center for Biomolecular Nanotechnologies,1,2
https://openalex.org/A2059146946,Lucio Marcenaro,https://orcid.org/0000-0003-1515-120X,University of Genoa,1,2
https://openalex.org/A5023888895,Ludovico Danza,https://orcid.org/0000-0003-3305-4008,,0,2
https://openalex.org/A5051033432,Luigi Patrono,https://orcid.org/0000-0002-8591-1190,Innovation Engineering (Italy); University of Salento,2,2
https://openalex.org/A5054014003,Marco Crepaldi,https://orcid.org/0000-0002-5881-3720,Italian Institute of Technology,1,2
https://openalex.org/A5077756388,Marco Maratea,https://orcid.org/0000-0002-9034-2527,University of Calabria,1,2
https://openalex.org/A5059323901,Marco Picone,https://orcid.org/0000-0003-0126-7914,Istituto Superiore per la Protezione e la Ricerca Ambientale,1,2
https://openalex.org/A5046113594,Margherita Festa,https://orcid.org/0000-0003-4990-7554,Instituto di Biofisica,1,2
https://openalex.org/A5006563640,Maria Antonietta Coppola,https://orcid.org/0000-0001-8627-4421,Instituto di Biofisica; University of Bari Aldo Moro,2,2
https://openalex.org/A5080511465,Maria Teresa Todaro,https://orcid.org/0000-0001-6471-0843,Center for Biomolecular Nanotechnologies; National Research Council,2,2
https://openalex.org/A5021284670,Marianna Semprini,https://orcid.org/0000-0001-5504-0251,Italian Institute of Technology,1,2
https://openalex.org/A5058241389,Marino Vetuschi Zuccolini,https://orcid.org/0000-0002-2874-631X,Istituto di Matematica Applicata e Tecnologie Informatiche; University of Genoa,2,2
https://openalex.org/A5062775755,Matilde Inglese,https://orcid.org/0000-0002-9610-0297,Ospedale Policlinico San Martino,1,2
https://openalex.org/A5029456664,Matteo Laffranchi,https://orcid.org/0000-0003-1189-281X,Italian Institute of Technology,1,2
https://openalex.org/A5021636050,Mattia Barbieri,https://orcid.org/0009-0004-5587-1142,Italian Institute of Technology,1,2
https://openalex.org/A5102606804,Mattia Losa,https://orcid.org/0009-0008-2942-1307,University of Genoa,1,2
https://openalex.org/A5017942383,Mauro Gaggero,https://orcid.org/0000-0002-5048-4141,National Research Council,1,2
https://openalex.org/A5006503793,Mehrnaz Hamedani,https://orcid.org/0000-0002-9371-4832,University of Genoa,1,2
https://openalex.org/A5053139792,Michele Scaraggi,https://orcid.org/0000-0001-8964-9970,Center for Biomolecular Nanotechnologies; Imperial College London; Innovation Engineering (Italy); University of Salento,4,2
https://openalex.org/A5111343690,Monica Gori,,Italian Institute of Technology,1,2
https://openalex.org/A5008808988,Muhammad Adeel Azam,https://orcid.org/0000-0001-9226-1838,Italian Institute of Technology; University of Genoa,2,2
https://openalex.org/A5040268333,Nazim Haouchine,https://orcid.org/0000-0002-1752-3479,Brigham and Women's Hospital; Harvard University,2,2
https://openalex.org/A5070475631,Nicoletta Noceti,https://orcid.org/0000-0002-6482-4768,University of Genoa,1,2
https://openalex.org/A2022152361,Pamela Zontone,https://orcid.org/0009-0005-9119-4481,University of Genoa,1,2
https://openalex.org/A5048209831,Paola Gavazzo,https://orcid.org/0000-0002-2016-4702,Instituto di Biofisica,1,2
https://openalex.org/A5048240419,Pietro Cataldi,https://orcid.org/0000-0001-9468-4009,Italian Institute of Technology,1,2
https://openalex.org/A5017729463,Rafael Alejandro Martínez Márquez,https://orcid.org/0009-0007-6674-9435,Consorzio Roma Ricerche; University of Genoa,2,2
https://openalex.org/A5056890512,Riccardo Berta,https://orcid.org/0000-0003-1937-3969,University of Genoa,1,2
https://openalex.org/A5023653501,Samuele Depalo,,University of Genoa,1,2
https://openalex.org/A5063795549,Serena Ricci,https://orcid.org/0000-0002-9042-6341,University of Genoa,1,2
https://openalex.org/A5061825524,Sergio Bobbo,https://orcid.org/0000-0001-7107-5956,,0,2
