display_name,id,coords,country_code,ror,type
Toronto Metropolitan University,https://openalex.org/I530967,"43.6585342, -79.3784674",CA,https://ror.org/05g13zd79,education
University of Toronto,https://openalex.org/I185261750,"43.6608141, -79.3960322",CA,https://ror.org/03dbr7087,education
University of Ostrava,https://openalex.org/I187293425,"49.8364324, 18.2901697",CZ,https://ror.org/00pyqav47,education
Université Savoie Mont Blanc,https://openalex.org/I70900168,"45.559718, 5.9124583",FR,https://ror.org/04gqg1a07,education
Hospital Clínic de Barcelona,https://openalex.org/I4210115097,"41.3894459, 2.1522761",ES,https://ror.org/02a2kzf50,healthcare
Ospedale Santa Chiara,https://openalex.org/I4210088115,"46.0563032, 11.1321441",IT,https://ror.org/007x5wz81,healthcare
Polytechnic University of Turin,https://openalex.org/I177477856,,IT,https://ror.org/00bgk9508,education
Innovation Engineering (Italy),https://openalex.org/I4210096856,"41.94913160149183, 12.465598837488042",IT,https://ror.org/00sxjp357,company
Institut de Ciències del Mar,https://openalex.org/I4210151560,"41.3855339, 2.1959959",ES,https://ror.org/05ect0289,facility
Stazione Zoologica Anton Dohrn,https://openalex.org/I2802779139,"40.8327245, 14.2356296",IT,https://ror.org/03v5jj203,facility
Consorzio Roma Ricerche,https://openalex.org/I4210144062,,IT,https://ror.org/03jvpn714,nonprofit
Queen Mary University of London,https://openalex.org/I166337079,"51.5247403, -0.0393136",GB,https://ror.org/026zzn846,education
Uppsala University,https://openalex.org/I123387679,"59.8576363, 17.6294616",SE,https://ror.org/048a87296,education
University of Klagenfurt,https://openalex.org/I4210166741,"46.6164026, 14.2646809",AT,https://ror.org/05q9m0937,education
Imperial College London,https://openalex.org/I47508984,"51.4989595, -0.1756407",GB,https://ror.org/041kmwe10,education
Istituti di Ricovero e Cura a Carattere Scientifico,https://openalex.org/I4210153126,,IT,https://ror.org/04tfzc498,healthcare
University of Education,https://openalex.org/I5100685,"31.4505335, 74.2995547",PK,https://ror.org/052z7nw84,education
University of Okara,https://openalex.org/I3130814776,"30.8669293, 73.5663038",PK,https://ror.org/02fmg6q11,education
Università degli studi di Cassino e del Lazio Meridionale,https://openalex.org/I186995768,,IT,https://ror.org/04nxkaq16,education
Georgia Institute of Technology,https://openalex.org/I130701444,"33.7760948, -84.3988077",US,https://ror.org/01zkghx44,education
Massachusetts Institute of Technology,https://openalex.org/I63966007,"42.3582529, -71.0966272",US,https://ror.org/042nb2s44,education
University of Da Nang,https://openalex.org/I3129492623,"14.3610764, 107.9986846",VN,https://ror.org/03ecpp171,education
Japan Advanced Institute of Science and Technology,https://openalex.org/I177738480,"36.4436614, 136.5923335",JP,https://ror.org/03frj4r98,education
University of Modena and Reggio Emilia,https://openalex.org/I122346577,,IT,https://ror.org/02d4c4y02,education
"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",https://openalex.org/I122991210,,IT,https://ror.org/05kacka20,facility
University of Verona,https://openalex.org/I119439378,"45.436629054018034, 11.003166151232223",IT,https://ror.org/039bp8j42,education
Camelot Biomedical Systems (Italy),https://openalex.org/I4210157111,,IT,https://ror.org/04pjbp005,company
University of Pavia,https://openalex.org/I25217355,"45.1869266, 9.1568768",IT,https://ror.org/00s6t1f81,education
"University of Campania ""Luigi Vanvitelli""",https://openalex.org/I197809005,,IT,https://ror.org/02kqnpp86,education
Warsaw University of Technology,https://openalex.org/I108403487,"52.2216394, 21.0073798",PL,https://ror.org/00y0xnp53,education
Aptiv (Germany),https://openalex.org/I4210130520,"51.2356167, 7.1592337",DE,https://ror.org/039sb8791,company
Istituto Superiore per la Protezione e la Ricerca Ambientale,https://openalex.org/I4210116113,"41.8158711, 12.4679484",IT,https://ror.org/022zv0672,government
Technology Innovation Institute,https://openalex.org/I4210087059,"39.6780011, -75.7349282",AE,https://ror.org/001kv2y39,facility
Institut Polytechnique de Bordeaux,https://openalex.org/I4210160189,,FR,https://ror.org/054qv7y42,education
Université de Bordeaux,https://openalex.org/I15057530,"44.8482054, -0.601142",FR,https://ror.org/057qpr032,education
Don Carlo Gnocchi Foundation,https://openalex.org/I4210116940,,IT,https://ror.org/02e3ssq97,nonprofit
Azienda Ospedaliero-Universitaria Cagliari,https://openalex.org/I4210124799,,IT,https://ror.org/034qxt397,healthcare
Università Campus Bio-Medico,https://openalex.org/I155125353,"41.7673727, 12.4695515",IT,https://ror.org/04gqx4x78,education
Institute of Molecular Bioimaging and Physiology,https://openalex.org/I4210095629,,IT,https://ror.org/00s2j5046,facility
European Molecular Biology Organization,https://openalex.org/I1303691731,,DE,https://ror.org/04wfr2810,nonprofit
University of Oslo,https://openalex.org/I184942183,"59.9414173, 10.7227683",NO,https://ror.org/01xtthb56,education
Instituto di Biofisica,https://openalex.org/I4210143448,,ES,https://ror.org/041xzk838,facility
University of Florence,https://openalex.org/I45084792,"43.8041147, 11.2729461",IT,https://ror.org/04jr1s763,education
McGill University,https://openalex.org/I5023651,"45.5068861, -73.5787118",CA,https://ror.org/01pxwe438,education
Institute of Organic Chemistry,https://openalex.org/I4210109745,"40.2316425, 44.5499508",PL,https://ror.org/01e17d143,facility
Polish Academy of Sciences,https://openalex.org/I99542240,"52.2377936, 21.0181978",PL,https://ror.org/01dr6c206,government
Superconducting and other Innovative Materials and Devices Institute,https://openalex.org/I4210095637,,IT,https://ror.org/00p03yg71,facility
Health First,https://openalex.org/I4210091245,"32.7831377, -79.9948036",US,https://ror.org/00cm7z053,healthcare
Trento RISE (Italy),https://openalex.org/I4210161882,,IT,https://ror.org/01nzc6q72,company
Fudan University,https://openalex.org/I24943067,"31.3011748, 121.4974703",CN,https://ror.org/013q1eq08,education
Informa (Italy),https://openalex.org/I4210101866,"45.0828984, 7.6960164",IT,https://ror.org/017c2y429,company
Institute for High Performance Computing and Networking,https://openalex.org/I3005160176,,IT,https://ror.org/04r5fge26,facility
University of Hagen,https://openalex.org/I120691247,"54.0838058, 13.40153",DE,https://ror.org/04tkkr536,education
Ecosystem (Spain),https://openalex.org/I4210151670,"43.3252602, -1.9695244",ES,https://ror.org/05sgwan27,company
CIMA Research Foundation,https://openalex.org/I4210108930,,IT,https://ror.org/01w5y4543,nonprofit
Osservatorio Astronomico di Cagliari,https://openalex.org/I4210151704,"39.2817883, 9.1308406",IT,https://ror.org/045dz8764,facility
Sorbonne University Abu Dhabi,https://openalex.org/I4210141120,"24.4888402, 54.4119207",AE,https://ror.org/03e1ymy32,education
Institut de Recherche pour le Développement,https://openalex.org/I4210166444,"43.6450924, 3.8670834",FR,https://ror.org/05q3vnk25,government
Université de Toulon,https://openalex.org/I143002897,"43.1354075, 6.0161592",FR,https://ror.org/02m9kbe37,education
IMT Atlantique,https://openalex.org/I4210127572,"48.3606868, -4.5716376",FR,https://ror.org/030hj3061,education
Università di Camerino,https://openalex.org/I112859197,"43.1396331, 13.0672155",IT,https://ror.org/0005w8d69,education
Institute for Microelectronics and Microsystems,https://openalex.org/I4210165120,,IT,https://ror.org/05vk2g845,facility
Universidad Politécnica de Madrid,https://openalex.org/I88060688,"40.5473558, -3.6918341",ES,https://ror.org/03n6nwv02,education
Politecnico di Milano,https://openalex.org/I93860229,"45.0482825, 9.7021611",IT,https://ror.org/01nffqt88,education
"Istituto Nazionale di Fisica Nucleare, Sezione di Genova",https://openalex.org/I4210125647,,IT,https://ror.org/02v89pq06,facility
"Istituto Nazionale di Fisica Nucleare, Sezione di Pavia",https://openalex.org/I4210109533,,IT,https://ror.org/01st30669,facility
University of Brescia,https://openalex.org/I79940851,,IT,https://ror.org/02q2d2610,education
"Istituto Nazionale di Fisica Nucleare, Sezione di Catania",https://openalex.org/I4210116497,,IT,https://ror.org/02pq29p90,facility
University of Messina,https://openalex.org/I112862951,,IT,https://ror.org/05ctdxz19,education
Kyungpook National University,https://openalex.org/I31419693,"35.8905697, 128.6108553",KR,https://ror.org/040c17130,education
STMicroelectronics (Italy),https://openalex.org/I4210154781,"37.4386307, 15.0635239",IT,https://ror.org/053bqv655,company
New York University,https://openalex.org/I57206974,"40.7292053, -73.9950148",US,https://ror.org/0190ak572,education
Istituto di Analisi dei Sistemi ed Informatica Antonio Ruberti,https://openalex.org/I4210162062,"41.8998236, 12.5101778",IT,https://ror.org/054ye0e45,facility
University of Bari Aldo Moro,https://openalex.org/I5561750,"41.1094882, 16.8816878",IT,https://ror.org/027ynra39,education
